id,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
1572,28,2,2,6,2,0,1.5720238095238095,0
1573,56,4,1,10,7,0,5.755714285714287,1
1574,11,0,0,4,1,0,3.7663636363636357,1
1575,60,3,1,9,6,0,9.137,0
1576,50,2,6,10,5,0,-0.7927999999999997,1
1577,28,2,0,6,3,0,3.422380952380955,1
1578,113,4,2,16,14,0,11.794424778761062,0
1579,64,8,1,14,3,0,7.340729166666669,1
1580,19,1,1,2,2,0,4.678947368421053,1
1581,25,1,1,5,4,0,9.3448,1
1582,30,1,0,4,6,0,6.6370000000000005,1
1583,10,0,0,2,2,0,2.41,0
1584,14,1,0,2,3,0,5.082857142857144,1
1585,12,1,0,3,0,0,4.587500000000002,0
1586,44,2,2,12,3,1,8.838181818181816,1
1587,49,1,1,5,7,0,6.130306122448978,1
1588,57,4,5,10,5,0,7.075263157894735,1
1589,281,13,3,65,22,1,5.440043960644758,1
1590,119,4,4,26,14,0,8.197422969187677,0
1591,109,6,4,23,13,0,7.660030581039756,0
1592,34,2,1,8,3,0,5.016078431372552,1
1593,36,1,2,9,3,0,6.750833333333333,1
1594,68,0,0,12,6,0,7.226029411764706,0
1595,13,1,0,4,0,0,4.272307692307692,1
1596,26,1,1,7,2,0,4.460641025641024,1
1597,41,1,2,9,5,0,7.919430894308942,1
1598,125,9,1,19,13,1,5.509611428571432,1
1599,350,15,5,75,20,0,9.277514285714286,1
1600,39,2,4,7,5,0,-2.9169230769230765,1
1601,16,1,1,3,2,0,8.648125,1
1602,218,10,9,41,20,0,6.572413549753001,0
1603,13,0,1,3,1,0,10.793846153846154,1
1604,28,1,0,7,2,0,3.769642857142859,1
1605,291,7,6,55,24,0,13.206288659793813,0
1606,100,5,2,15,11,0,9.3411,1
1607,60,2,1,9,9,0,6.942499999999999,1
1608,114,4,3,19,10,0,7.866541353383457,0
1609,175,10,13,43,20,1,3.024711111111113,1
1610,106,1,5,18,11,1,5.787190775681346,1
1611,205,21,8,39,10,0,7.118767184035477,1
1612,70,2,1,16,6,0,4.563142857142857,1
1613,28,0,1,4,2,0,-0.6310714285714276,1
1614,21,0,2,5,0,0,8.35857142857143,1
1615,9,0,0,1,2,0,1.9100000000000001,1
1616,116,5,4,25,13,0,7.726321839080462,0
1617,16,1,0,2,3,0,1.4100000000000001,1
1618,19,1,0,4,2,0,5.382631578947368,0
1619,14,0,2,3,1,0,1.5828571428571436,0
1620,124,8,3,24,14,1,5.894211469534049,1
